Name,GP,G,A,TP,PPG,PIM,Period,Years,POS
Wayne Gretzky,1487.0,894.0,1963.0,2857.0,1.921,577.0,1979-1999,20.0,C
Jaromir Jagr,1733.0,766.0,1155.0,1921.0,1.1079999999999999,1167.0,1990-2018,24.0,RW
Mark Messier,1756.0,694.0,1193.0,1887.0,1.075,1910.0,1979-2004,25.0,C
Gordie Howe,1767.0,801.0,1049.0,1850.0,1.047,1685.0,1946-1980,26.0,RW
Ron Francis,1731.0,549.0,1249.0,1798.0,1.0390000000000001,979.0,1981-2004,23.0,C
Marcel Dionne,1348.0,731.0,1040.0,1771.0,1.314,600.0,1971-1989,18.0,C
Steve Yzerman,1514.0,692.0,1063.0,1755.0,1.159,924.0,1983-2006,22.0,C
Mario Lemieux,915.0,690.0,1033.0,1723.0,1.883,834.0,1984-2006,17.0,C
Joe Sakic,1378.0,625.0,1016.0,1641.0,1.1909999999999998,614.0,1988-2009,20.0,C
Phil Esposito,1282.0,717.0,873.0,1590.0,1.24,910.0,1963-1981,18.0,C
Raymond Bourque,1612.0,410.0,1169.0,1579.0,0.98,1141.0,1979-2001,22.0,D
Mark Recchi,1652.0,577.0,956.0,1533.0,0.9279999999999999,1033.0,1988-2011,22.0,RW
Paul Coffey,1409.0,396.0,1135.0,1531.0,1.087,1802.0,1980-2001,21.0,D
Joe Thornton,1636.0,420.0,1089.0,1509.0,0.922,1248.0,1997-2020,22.0,C
Stan Mikita,1394.0,541.0,926.0,1467.0,1.052,1270.0,1958-1980,22.0,C
Teemu Selanne,1451.0,684.0,773.0,1457.0,1.004,660.0,1992-2014,21.0,RW
Bryan Trottier,1279.0,524.0,901.0,1425.0,1.114,912.0,1975-1994,18.0,C
Adam Oates,1337.0,341.0,1079.0,1420.0,1.062,415.0,1985-2004,19.0,C
Doug Gilmour,1474.0,450.0,964.0,1414.0,0.9590000000000001,1299.0,1983-2003,20.0,C
Dale Hawerchuk,1188.0,518.0,891.0,1409.0,1.186,740.0,1981-1997,16.0,C
Jari Kurri,1251.0,601.0,797.0,1398.0,1.1179999999999999,545.0,1980-1998,17.0,RW
Luc Robitaille,1431.0,668.0,726.0,1394.0,0.9740000000000001,1177.0,1986-2006,19.0,LW
Brett Hull,1269.0,741.0,650.0,1391.0,1.0959999999999999,457.0,1985-2006,20.0,RW
Mike Modano,1499.0,561.0,813.0,1374.0,0.917,926.0,1988-2011,22.0,C
Johnny Bucyk,1540.0,556.0,813.0,1369.0,0.889,497.0,1955-1978,23.0,LW
Brendan Shanahan,1524.0,656.0,698.0,1354.0,0.888,2489.0,1987-2009,21.0,LW
Guy Lafleur,1126.0,560.0,793.0,1353.0,1.202,399.0,1971-1991,17.0,RW
Mats Sundin,1346.0,564.0,785.0,1349.0,1.002,1093.0,1990-2009,18.0,C
Dave Andreychuk,1639.0,640.0,698.0,1338.0,0.816,1125.0,1982-2006,23.0,LW
Denis Savard,1196.0,473.0,865.0,1338.0,1.119,1336.0,1980-1997,17.0,C
Mike Gartner,1432.0,708.0,627.0,1335.0,0.932,1159.0,1979-1998,19.0,RW
Pierre Turgeon,1294.0,515.0,812.0,1327.0,1.026,452.0,1987-2007,19.0,C
Gilbert Perreault,1191.0,512.0,814.0,1326.0,1.113,500.0,1970-1987,17.0,C
Jarome Iginla,1554.0,625.0,675.0,1300.0,0.8370000000000001,1040.0,1995-2017,21.0,RW
Alex Delvecchio,1550.0,456.0,825.0,1281.0,0.826,383.0,1950-1974,24.0,C
Alexander Ovechkin,1152.0,706.0,572.0,1278.0,1.109,719.0,2005-2021,16.0,LW
Al MacInnis,1416.0,340.0,934.0,1274.0,0.9,1511.0,1981-2004,23.0,D
Jean Ratelle,1281.0,491.0,776.0,1267.0,0.9890000000000001,276.0,1960-1981,21.0,C
Sidney Crosby,984.0,462.0,801.0,1263.0,1.284,673.0,2005-2021,16.0,C
Peter Stastny,977.0,450.0,789.0,1239.0,1.268,824.0,1980-1995,15.0,C
Phil Housley,1495.0,338.0,894.0,1232.0,0.8240000000000001,822.0,1982-2003,21.0,D
Norm Ullman,1410.0,490.0,739.0,1229.0,0.872,712.0,1955-1975,20.0,C
Jean Beliveau,1125.0,507.0,712.0,1219.0,1.084,1029.0,1950-1971,20.0,C
Jeremy Roenick,1363.0,513.0,703.0,1216.0,0.892,1463.0,1988-2009,20.0,C
Larry Murphy,1615.0,287.0,929.0,1216.0,0.753,1084.0,1980-2001,21.0,D
Bobby Clarke,1144.0,358.0,852.0,1210.0,1.058,1453.0,1969-1984,15.0,C
Bernie Nicholls,1127.0,475.0,734.0,1209.0,1.073,1292.0,1981-1999,18.0,C
Vincent Damphousse,1378.0,432.0,783.0,1205.0,0.8740000000000001,1190.0,1986-2004,18.0,C
Dino Ciccarelli,1232.0,608.0,592.0,1200.0,0.9740000000000001,1425.0,1980-1999,19.0,RW
Patrick Marleau,1723.0,562.0,626.0,1188.0,0.6890000000000001,517.0,1997-2021,23.0,LW
Rod Brind'Amour,1484.0,452.0,732.0,1184.0,0.7979999999999999,1100.0,1988-2010,21.0,C
Sergei Fedorov,1248.0,483.0,696.0,1179.0,0.945,839.0,1990-2009,18.0,C
Bobby Hull,1063.0,610.0,560.0,1170.0,1.101,640.0,1957-1980,16.0,LW
Daniel Alfredsson,1246.0,444.0,713.0,1157.0,0.929,510.0,1995-2014,18.0,RW
Michel Goulet,1089.0,548.0,604.0,1152.0,1.058,825.0,1979-1994,15.0,LW
Nicklas Lidstrom,1564.0,264.0,878.0,1142.0,0.73,514.0,1991-2012,20.0,D
Marian Hossa,1309.0,525.0,609.0,1134.0,0.866,628.0,1997-2021,23.0,RW
Bernie Federko,1000.0,369.0,761.0,1130.0,1.13,487.0,1976-1990,14.0,C
Mike Bossy,752.0,573.0,553.0,1126.0,1.4969999999999999,222.0,1977-1987,10.0,RW
