Name,firstName,lastName,playerID,hofID,firstNHL,lastNHL,pos
Antti Aalto,Antti,Aalto,aaltoan01,,1997.0,2000.0,C
Bruce Abbey,Bruce,Abbey,abbeybr01,,,,D
George Abbott,George,Abbott,abbotge01,,1943.0,1943.0,G
Reg Abbott,Reg,Abbott,abbotre01,,1952.0,1952.0,C
Justin Abdelkader,Justin,Abdelkader,abdelju01,,2007.0,2011.0,L
Clarence Abel,Clarence,Abel,abelcl01,,1926.0,1933.0,D
Gerry Abel,Gerry,Abel,abelge01,,1966.0,1966.0,L
Sid Abel,Sid,Abel,abelsi01,abelsi01h,1938.0,1953.0,C
Dennis Abgrall,Dennis,Abgrall,abgrade01,,1975.0,1975.0,R
Ramzi Abid,Ramzi,Abid,abidra01,,2002.0,2006.0,L
Christer Abrahamsson,Christer,Abrahamsson,abrahch01,,,,G
Thommy Abrahamsson,Thommy,Abrahamsson,abrahth01,,1980.0,1980.0,D
Gene Achtymichuk,Gene,Achtymichuk,achtyge01,,1951.0,1958.0,C
Doug Acomb,Doug,Acomb,acombdo01,,1969.0,1969.0,C
Keith Acton,Keith,Acton,actonke01,,1979.0,1993.0,C
Jim Adair,Jim,Adair,adairji01,,,,C
Douglas Adam,Douglas,Adam,adamdo01,,1949.0,1949.0,L
Petr Adamik,Petr,Adamik,adamipe01,,,,
Luke Adam,Luke,Adam,adamlu01,,2010.0,2011.0,L
Russ Adam,Russ,Adam,adamru01,,1982.0,1982.0,C
Bill Adams,Bill,Adams,adamsbi01,,,,R
Bryan Adams,Bryan,Adams,adamsbr01,,1999.0,2000.0,L
Charles Adams,Charles,Adams,,adamsch01h,,,
Craig Adams,Craig,Adams,adamscr01,,2000.0,2011.0,R
Greg Adams,Greg,Adams,adamsgr01,,1980.0,1989.0,L
Greg Adams,Greg,Adams,adamsgr02,,1984.0,2000.0,L
Jack Adams,Jack,Adams,adamsja01,adamsja01h,1917.0,1926.0,C
John Adams,John,Adams,adamsjo01,,1940.0,1940.0,L
John Adams,John,Adams,adamsjo02,,1972.0,1974.0,G
Kevyn Adams,Kevyn,Adams,adamske01,,1997.0,2007.0,C
Stew Adams,Stew,Adams,adamsst01,,1929.0,1932.0,L
Weston Adams,Weston,Adams,,adamswe01h,,,
Ray Adduono,Ray,Adduono,adduora01,,,,C
Rick Adduono,Rick,Adduono,adduori01,,1975.0,1979.0,C
David Aebischer,David,Aebischer,aebisda01,,2000.0,2007.0,G
Dmitry Afanasenkov,Dmitry,Afanasenkov,afanadm01,,2000.0,2006.0,L
Bruce Affleck,Bruce,Affleck,afflebr01,,1974.0,1983.0,D
Maxim Afinogenov,Maxim,Afinogenov,afinoma01,,1999.0,2009.0,R
Gary Agnew,Gary,Agnew,,,,,
Jim Agnew,Jim,Agnew,agnewji01,,1986.0,1992.0,D
Bunny Ahearne,Bunny,Ahearne,,ahearbu01h,,,
Frank Ahearn,Frank,Ahearn,,ahearfr01h,,,
Kevin Ahearn,Kevin,Ahearn,ahearke01,,,,L
Fred Ahern,Fred,Ahern,ahernfr01,,1974.0,1977.0,R
Rudy Ahlin,Rudy,Ahlin,ahlinru01,,1937.0,1937.0,L
Seppo Ahokainen,Seppo,Ahokainen,ahokase01,,,,
Peter Ahola,Peter,Ahola,aholape01,,1991.0,1993.0,D
Chris Ahrens,Chris,Ahrens,ahrench01,,1972.0,1977.0,D
Don Aiken,Don,Aiken,aikendo01,,1957.0,1957.0,G
Lloyd Ailsby,Lloyd,Ailsby,ailsbll01,,1951.0,1951.0,D
Andy Aitkenhead,Andy,Aitkenhead,aitkean01,,1932.0,1934.0,G
Brad Aitken,Brad,Aitken,aitkebr01,,1987.0,1990.0,L
Johnathan Aitken,Johnathan,Aitken,aitkejo01,,1999.0,2003.0,D
Micah Aivazoff,Micah,Aivazoff,aivazmi01,,1993.0,1995.0,C
Mika Alatalo,Mika,Alatalo,alatami01,,1999.0,2000.0,L
Tommy Albelin,Tommy,Albelin,albelto01,,1987.0,2005.0,D
Andrew Alberts,Andrew,Alberts,alberan01,,2005.0,2011.0,D
Clint Albright,Clint,Albright,albricl01,,1948.0,1948.0,C
Gary Aldcorn,Gary,Aldcorn,aldcoga01,,1956.0,1960.0,L
Keith Aldridge,Keith,Aldridge,aldrike01,,1999.0,1999.0,D
Art Alexandre,Art,Alexandre,alexaar01,,1931.0,1932.0,L
Claire Alexander,Claire,Alexander,alexacl01,,1974.0,1977.0,D
Nikita Alexeev,Nikita,Alexeev,alexeni01,,2001.0,2006.0,R
Daniel Alfredsson,Daniel,Alfredsson,alfreda01,,1995.0,2011.0,R
Akim Aliu,Akim,Aliu,aliuak01,,2011.0,2011.0,R
Jeff Allan,Jeff,Allan,allanje01,,1977.0,1977.0,D
Montagu Allan,Montagu,Allan,,allanmo01h,,,
Bobby Allen,Bobby,Allen,allenbo01,,2002.0,2007.0,D
Bryan Allen,Bryan,Allen,allenbr01,,2000.0,2011.0,D
Chris Allen,Chris,Allen,allench01,,1997.0,1998.0,D
George Allen,George,Allen,allenge01,,1938.0,1946.0,L
Keith Allen,Keith,Allen,allenke01,allenke01h,1953.0,1954.0,D
Peter Allen,Peter,Allen,allenpe01,,1995.0,1995.0,D
Viv Allen,Viv,Allen,allenvi01,,1940.0,1940.0,R
Steve Alley,Steve,Alley,alleyst01,,1979.0,1980.0,L
Dave Allison,Dave,Allison,allisda01,,1983.0,1983.0,D
Jason Allison,Jason,Allison,allisja01,,1993.0,2005.0,C
Jamie Allison,Jamie,Allison,allisja02,,1994.0,2005.0,D
Mike Allison,Mike,Allison,allismi01,,1980.0,1989.0,L
Ray Allison,Ray,Allison,allisra01,,1979.0,1986.0,R
Bill Allum,Bill,Allum,allumbi01,,1939.0,1940.0,D
Red Almas,Red,Almas,almasre01,,1946.0,1952.0,G
Cody Almond,Cody,Almond,almonco01,,2009.0,2011.0,C
Karl Alzner,Karl,Alzner,alzneka01,,2008.0,2011.0,D
Dave Amadio,Dave,Amadio,amadida01,,1957.0,1968.0,D
Peter Ambroziak,Peter,Ambroziak,ambrope01,,1994.0,1994.0,L
Mike Amodeo,Mike,Amodeo,amodemi01,,1979.0,1979.0,D
Tony Amonte,Tony,Amonte,amontto01,,1990.0,2006.0,R
Bill Anderson,Bill,Anderson,anderbi01,,1942.0,1942.0,D
Craig Anderson,Craig,Anderson,andercr01,,2002.0,2011.0,G
Dale Anderson,Dale,Anderson,anderda01,,1956.0,1956.0,D
Doug Anderson,Doug,Anderson,anderdo01,,1952.0,1952.0,C
Earl Anderson,Earl,Anderson,anderea01,,1974.0,1976.0,R
Erik Andersson,Erik,Andersson,anderer01,,1997.0,1997.0,L
Ernie Anderson,Ernie,Anderson,anderer02,,,,R
Glenn Anderson,Glenn,Anderson,andergl01,andergl01h,1980.0,1995.0,R
Jim Anderson,Jim,Anderson,anderji01,,1967.0,1967.0,L
John Anderson,John,Anderson,anderjo01,,1977.0,1988.0,L
Jonas Andersson,Jonas,Andersson,anderjo02,,2001.0,2010.0,R
Jocko Anderson,Jocko,Anderson,anderjo03,,,,L
Joakim Andersson,Joakim,Andersson,anderjo04,,2011.0,2011.0,C
Kent-Erik Andersson,Kent-Erik,Andersson,anderke01,,1977.0,1983.0,R
Lorne Anderson,Lorne,Anderson,anderlo01,,1951.0,1951.0,G
Mikael Andersson,Mikael,Andersson,andermi01,,1985.0,1999.0,L
