year,hofID,name,pos,category
1945,bakerho01h,Hobey Baker,F,Player
1945,gardich01h,Charlie Gardiner,G,Player
1945,gerared01h,Eddie Gerard,D–LW,Player
1945,mcgeefr01h,Frank McGee,C–R,Player
1945,morenho01h,Howie Morenz,C,Player
1945,phillto01h,Tommy Phillips,LW–RW,Player
1945,pulfoha01h,Harvey Pulford,D,Player
1945,stuarho01h,Hod Stuart,D,Player
1945,vezinge01h,Georges Vezina,,Player
1945,allanmo01h,Montagu Allan,,Builder
1945,stanlfr01h,Frederick Stanley,,Builder
1947,bowieru01h,Russell Bowie,C–R,Player
1947,clappdi01h,Dit Clapper,,Player
1947,joliaau01h,Aurel Joliat,,Player
1947,nighbfr01h,Frank Nighbor,C,Player
1947,patrile01h,Lester Patrick,D–G–R,Player
1947,shoreed01h,Eddie Shore,D,Player
1947,taylocy01h,Cyclone Taylor,C–D–R,Player
1947,caldefr01h,Frank Calder,,Builder
1947,hewitwi01h,William Hewitt,,Builder
1947,nelsofr01h,Francis Nelson,,Builder
1947,northwi01h,William Northey,,Builder
1947,roberjo02h,John Robertson,,Builder
1947,robincl01h,Claude Robinson,,Builder
1947,sutheja01h,James Sutherland,,Builder
1949,bainda01h,Dan Bain,C,Player
1949,rossar01h,Art Ross,D,Player
1950,davidal01h,Scotty Davidson,,Player
1950,drinkgr01h,Graham Drinkwater,D,Player
1950,grantmi01h,Mike Grant,D,Player
1950,griffsi01h,Si Griffis,,Player
1950,lalonne01h,Newsy Lalonde,D–R,Player
1950,malonjo01h,Joe Malone,C,Player
1950,patrifr01h,Frank Patrick,,Builder
1950,richage01h,George Richardson,D,Player
1950,triheha01h,Harry Trihey,C–R,Player
1952,boondi01h,Dickie Boon,D,Player
1952,cookbi01h,Bill Cook,RW,Player
1952,goheemo01h,Moose Goheen,D–LW,Player
1952,johnsmo01h,Moose Johnson,D,Player
1952,mackami01h,Mickey MacKay,C–R,Player
1952,stewane01h,Nels Stewart,C,Player
1958,bouchfr01h,Frank Boucher,C,Player
1958,clancki01h,King Clancy,D,Player
1958,cleghsp01h,Sprague Cleghorn,D,Player
1958,smythco01h,Conn Smythe,,Builder
1958,conneal01h,Alec Connell,G,Player
1958,duttore01h,Red Dutton,D,Player
1958,foystfr01h,Frank Foyston,C,Player
1958,fredrfr01h,Frank Fredrickson,C,Player
1958,gardihe01h,Herb Gardiner,D,Player
1958,hayge01h,George Hay,LW,Player
1958,irvindi01h,Dick Irvin,C,Player
1958,johnsch01h,Ching Johnson,D,Player
1958,keatsdu01h,Duke Keats,C,Player
1958,lehmahu01h,Hugh Lehman,,Player
1958,mcnamge02h,George McNamara,D,Player
1958,moranpa01h,Paddy Moran,G,Player
1958,dudlege01h,George Dudley,,Builder
1958,norrija02h,James Norris Sr.,,Builder
1958,pickaal01h,Allan Pickard,,Builder
1958,raymodo01h,Donat Raymond,,Builder
1958,turnell01h,Lloyd Turner,,Builder
1959,adamsja01h,Jack Adams,C,Player
1959,dennecy01h,Cy Denneny,LW,Player
1959,thompti01h,Tiny Thompson,G,Player
1960,bouchge01h,Georges Boucher,,Player
1960,manthsy01h,Sylvio Mantha,D,Player
1960,walkeja01h,Jack Walker,C–LW–R,Player
1960,adamsch01h,Charles Adams,,Builder
1960,kilpajo01h,John Kilpatrick,,Builder
1960,selkefr01h,Frank Selke,,Builder
1961,appssy01h,Syl Apps,C,Player
1961,conacch01h,Charlie Conacher,RW,Player
1961,dayha01h,Hap Day,D,Player
1961,hainsge01h,George Hainsworth,G,Player
1961,halljo01h,Joe Hall,D,Player
1961,lesuepe01h,Percy LeSueur,G–RW,Player
1961,rankifr01h,Frank Rankin,R,Player
1961,richama01h,Maurice Richard,,Player
1961,schmimi01h,Milt Schmidt,C,Player
1961,seibeol01h,Oliver Seibert,C,Player
1961,stuarbr02h,Bruce Stuart,R,Player
1961,brownge03h,George Brown,,Builder
1961,ellioch01h,Chaucer Elliott,,Referee/Linesman
1961,ionmi01h,Mickey Ion,,Referee/Linesman
1961,loicqpa01h,Paul Loicq,,Builder
1961,smeatco01h,Cooper Smeaton,,Referee/Linesman
1961,waghofr01h,Fred Waghorne,,Builder
1962,broadpu01h,Punch Broadbent,RW,Player
1962,camerha01h,Harry Cameron,D,Player
1962,crawfru01h,Rusty Crawford,C–LW,Player
1962,darraja01h,Jack Darragh,RW,Player
1962,gardnji01h,Jim Gardner,,Player
1962,gilmobi01h,Billy Gilmour,RW,Player
1962,greensh01h,Shorty Green,F,Player
1962,hernri01h,Riley Hern,G,Player
1962,hoopeto01h,Tom Hooper,F,Player
1962,huttobo01h,Bowse Hutton,,Player
1962,hylanha01h,Harry Hyland,RW,Player
1962,lavioja01h,Jack Laviolette,D–LW,Player
1962,maxwest01h,Steamer Maxwell,R,Player
1962,mcgimbi01h,Billy McGimsie,C,Player
1962,noblere01h,Reg Noble,C–D–LW,Player
1962,pitredi01h,Didier Pitre,D–R–RW,Player
1962,ruttaja01h,Jack Ruttan,D,Player
1962,schrisw01h,Sweeney Schriner,LW,Player
1962,simpsjo01h,Joe Simpson,,Player
1962,smithal03h,Alf Smith,RW,Player
1962,stanlba01h,Barney Stanley,D–RW,Player
1962,walshma01h,Marty Walsh,C,Player
1962,watsoha01h,Harry Watson,,Player
1962,westwha01h,Harry Westwick,,Player
1962,whitcfr01h,Fred Whitcroft,,Player
1962,wilsoph01h,Phat Wilson,D,Player
1962,ahearfr01h,Frank Ahearn,,Builder
1962,brownwa02h,Walter Brown,,Builder
1962,humefr01h,Fred Hume,,Builder
1962,norrija03h,James Norris,,Builder
1962,obrieja01h,Ambrose O'Brien,,Builder
1962,roddemi01h,Mike Rodden,,Referee/Linesman
1962,smithfr01h,Frank Smith,,Builder
1963,dandule01h,Leo Dandurand,,Builder
1963,gormato01h,Tommy Gorman,,Builder
1963,goodfeb01h,Ebbie Goodfellow,C–D,Player
1963,primejo01h,Joe Primeau,C,Player
1963,seibeea01h,Earl Seibert,D,Player
1963,hewitbo01h,Bobby Hewitson,,Referee/Linesman
1963,mclaufr01h,Frederic McLaughlin,,Builder
1964,bentldo01h,Doug Bentley,LW,Player
1964,durnabi01h,Bill Durnan,G,Player
1964,siebeba01h,Babe Siebert,D–LW,Player
1964,stewaja01h,Jack Stewart,,Player
1964,campban01h,Angus Campbell,,Builder
1964,chadwbi01h,Bill Chadwick,,Referee/Linesman
1964,diliofr01h,Francis Dilio,,Builder
1965,barryma01h,Marty Barry,C,Player
1965,benedcl01h,Clint Benedict,G,Player
1965,farrear01h,Art Farrell,,Player
1965,hornere01h,Red Horner,D,Player
1965,howesy01h,Syd Howe,D–LW,Player
1965,marshja02h,Jack Marshall,C–D,Player
1965,mosiebi01h,Bill Mosienko,RW,Player
1965,russebl01h,Blair Russell,,Player
1965,russeer01h,Ernie Russell,C–R,Player
1965,scanlfr01h,Fred Scanlon,,Player
1965,hewitfo01h,Foster Hewitt,,Builder
1965,lockhth01h,Tommy Lockhart,,Builder
1966,bentlma01h,Max Bentley,C,Player
1966,blaketo01h,Toe Blake,LW,Player
1966,bouchbu01h,Butch Bouchard,,Player
1966,brimsfr01h,Frank Brimsek,G,Player
1966,kennete01h,Ted Kennedy,C,Player
1966,lachel01h,Elmer Lach,C,Player
1966,lindste01h,Ted Lindsay,,Player
1966,prattba01h,Babe Pratt,D,Player
1966,reardke01h,Ken Reardon,D,Player
1966,campbcl01h,Clarence Campbell,,Builder
1967,brodatu01h,Turk Broda,G,Player
1967,colvine01h,Neil Colville,C–D,Player
1967,oliveha01h,Harry Oliver,RW,Player
1967,storere01h,Red Storey,,Referee/Linesman
1968,cowlebi01h,Bill Cowley,C,Player
1968,dunnji01h,Jimmy Dunn,,Builder
1968,hendyji01h,Jim Hendy,,Builder
1969,abelsi01h,Sid Abel,C–LW,Player
1969,hextabr01h,Bryan Hextall,RW,Player
1969,kellyre01h,Red Kelly,,Player
1969,wortero01h,Roy Worters,G,Player
1969,leadeal01h,Al Leader,,Builder
1969,norribr01h,Bruce Norris,,Builder
1970,dyeba01h,Babe Dye,RW,Player
1970,gadsbbi01h,Bill Gadsby,D,Player
1970,johnsto01h,Tom Johnson,D,Player
1970,lebelro01h,Bob LeBel,,Builder
1971,jacksbu01h,Busher Jackson,LW,Player
1971,robergo02h,Gord Roberts,,Player
1971,sawchte01h,Terry Sawchuk,,Player
1971,weilaco01h,Cooney Weiland,C,Player
1971,wirtzar01h,Arthur Wirtz,,Builder
1972,belivje01h,Jean Beliveau,,Player
1972,geoffbe01h,Bernie Geoffrion,RW,Player
1972,holmeha01h,Hap Holmes,G,Player
1972,howego01h,Gordie Howe,,Player
1972,smithho01h,Hooley Smith,C–D–RW,Player
1972,adamswe01h,Weston Adams,,Builder
1973,harvedo01h,Doug Harvey,D,Player
1973,raynech01h,Chuck Rayner,G,Player
1973,smithto01h,Tommy Smith,C–R–LW,Player
1973,molsoha01h,Hartland Molson,,Builder
1973,udvarfr01h,Frank Udvari,,Referee/Linesman
1974,burchbi01h,Billy Burch,C–D,Player
1974,ivanto01h,Tommy Ivan,,Builder
1974,coultar01h,Art Coulter,D,Player
1974,dundeto01h,Tommy Dunderdale,C,Player
1974,mooredi01h,Dickie Moore,LW,Player
1974,vossca01h,Carl Voss,,Builder
1974,haych01h,Charles Hay,,Builder
1974,tarasan01h,Anatoli Tarasov,,Builder
1975,armstge01h,George Armstrong,RW,Player
1975,baileac01h,Ace Bailey,LW,Player
1975,drillgo01h,Gordie Drillon,RW,Player
1975,hallgl01h,Glenn Hall,G,Player
1975,pilotpi01h,Pierre Pilote,D,Player
1975,bucklfr01h,Frank Buckland,,Builder
1975,bucklfr01h,William Jennings,,Builder
1976,bowerjo01h,Johnny Bower,G,Player
1976,gibsoja02h,Jack Gibson,,Builder
1976,quackbi01h,Bill Quackenbush,D,Player
1976,rossph01h,Philip Ross,,Builder
1976,wirtzwi01h,William Wirtz,,Builder
